Wavelength	Transit Depth
#(meters)	(percent)
4.044081e-07	7.059116e-01
4.048119e-07	6.083510e-01
4.052162e-07	5.954085e-01
4.056208e-07	5.950226e-01
4.060258e-07	5.948672e-01
4.064312e-07	5.947643e-01
4.068371e-07	5.946652e-01
4.072433e-07	5.945803e-01
4.076500e-07	5.944971e-01
4.080570e-07	5.944178e-01
4.084645e-07	5.943389e-01
4.088723e-07	5.942632e-01
4.092806e-07	5.941847e-01
4.096893e-07	5.941084e-01
4.100984e-07	5.940323e-01
4.105079e-07	5.939601e-01
4.109178e-07	5.938812e-01
4.113281e-07	5.938161e-01
4.117388e-07	5.937304e-01
4.121500e-07	5.936801e-01
4.125615e-07	5.935838e-01
4.129735e-07	5.935034e-01
4.133859e-07	5.934277e-01
4.137986e-07	5.933563e-01
4.142118e-07	5.932791e-01
4.146254e-07	5.932269e-01
4.150395e-07	5.931280e-01
4.154539e-07	5.930637e-01
4.158687e-07	5.929876e-01
4.162840e-07	5.929007e-01
4.166997e-07	5.928289e-01
4.171158e-07	5.927508e-01
4.175323e-07	5.926760e-01
4.179492e-07	5.926010e-01
4.183665e-07	5.925262e-01
4.187843e-07	5.924556e-01
4.192024e-07	5.923792e-01
4.196210e-07	5.923051e-01
4.200400e-07	5.922265e-01
4.204595e-07	5.921525e-01
4.208793e-07	5.920865e-01
4.212996e-07	5.920017e-01
4.217203e-07	5.919525e-01
4.221414e-07	5.918680e-01
4.225629e-07	5.917755e-01
4.229848e-07	5.918404e-01
4.234072e-07	5.916388e-01
4.238300e-07	5.915761e-01
4.242532e-07	5.914914e-01
4.246768e-07	5.914003e-01
4.251009e-07	5.913265e-01
4.255254e-07	5.912585e-01
4.259503e-07	5.911763e-01
4.263756e-07	5.911052e-01
4.268013e-07	5.910251e-01
4.272275e-07	5.909507e-01
4.276541e-07	5.908769e-01
4.280812e-07	5.908049e-01
4.285086e-07	5.907258e-01
4.289365e-07	5.906659e-01
4.293648e-07	5.905797e-01
4.297935e-07	5.905044e-01
4.302227e-07	5.904271e-01
4.306523e-07	5.903522e-01
4.310823e-07	5.902775e-01
4.315128e-07	5.902011e-01
4.319436e-07	5.901260e-01
4.323750e-07	5.900530e-01
4.328067e-07	5.899774e-01
4.332389e-07	5.899116e-01
4.336715e-07	5.898274e-01
4.341045e-07	5.897532e-01
4.345380e-07	5.896826e-01
4.349719e-07	5.896176e-01
4.354062e-07	5.895287e-01
4.358410e-07	5.894581e-01
4.362762e-07	5.893794e-01
4.367118e-07	5.893062e-01
4.371479e-07	5.892710e-01
4.375844e-07	5.891550e-01
4.380214e-07	5.890803e-01
4.384587e-07	5.890091e-01
4.388966e-07	5.889298e-01
4.393348e-07	5.888574e-01
4.397735e-07	5.887951e-01
4.402126e-07	5.887113e-01
4.406522e-07	5.886459e-01
4.410922e-07	5.885670e-01
4.415327e-07	5.884992e-01
